Wagon ID,Zone,Zone Name,Wagon Type,Temperature,Wheel,Brakes,Battery,GPS,Health Score,Status
WG00001,SW,South-West,BCN,35°C,Good,Good,39%,Active,75%,Warning
WG00002,WN,West-North,Covered,32°C,Fair,Worn,38%,Offline,49%,Critical
WG00003,W,West,BTPN,54°C,Good,Good,36%,Offline,75%,Warning
WG00004,NE,North-East,BCN,28°C,Good,Good,36%,Active,75%,Warning
WG00005,E,East,Covered,50°C,Fair,Fair,50%,Active,69%,Critical
WG00006,NE,North-East,Hopper,50°C,Good,Worn,82%,Active,82%,Warning
WG00007,NS,North-South,Tank,41°C,Fair,Good,45%,Active,77%,Warning
WG00008,NS,North-South,BCN,34°C,Good,Good,68%,Active,95%,Healthy
WG00009,EW,East-West,BTPN,37°C,Fair,Worn,69%,Active,69%,Critical
WG00010,NE,North-East,BCN,22°C,Good,Worn,93%,Offline,82%,Warning
WG00011,W,West,Covered,28°C,Good,Worn,35%,Active,57%,Critical
WG00012,NS,North-South,Flat,40°C,Good,Fair,71%,Active,87%,Warning
WG00013,NS,North-South,Hopper,39°C,Fair,Critical,54%,Weak,42%,Critical
WG00014,E,East,BCN,47°C,Good,Good,37%,Active,75%,Warning
WG00015,ES,East-South,Flat,38°C,Good,Good,45%,Active,85%,Warning
WG00016,ES,East-South,BCN,49°C,Fair,Good,34%,Active,67%,Critical
WG00017,SE,South-East,Hopper,52°C,Good,Good,45%,Offline,85%,Warning
WG00018,NW,North-West,BOXN,33°C,Good,Good,96%,Active,99%,Healthy
WG00019,W,West,BCN,27°C,Good,Good,32%,Offline,75%,Warning
WG00020,E,East,Hopper,34°C,Good,Good,65%,Weak,95%,Healthy
WG00021,E,East,Flat,38°C,Worn,Good,97%,Active,82%,Warning
WG00022,SE,South-East,BCN,52°C,Worn,Fair,75%,Active,69%,Critical
WG00023,SE,South-East,BCN,49°C,Good,Good,42%,Active,85%,Warning
WG00024,E,East,BTPN,53°C,Worn,Good,79%,Offline,77%,Warning
WG00025,NE,North-East,Tank,37°C,Critical,Good,53%,Active,50%,Critical
WG00026,NS,North-South,Tank,26°C,Worn,Good,31%,Active,57%,Critical
WG00027,ES,East-South,Covered,38°C,Good,Good,79%,Active,95%,Healthy
WG00028,ES,East-South,Flat,51°C,Good,Critical,84%,Weak,65%,Critical
WG00029,WN,West-North,Hopper,54°C,Fair,Good,26%,Weak,67%,Critical
WG00030,EW,East-West,BOXN,55°C,Fair,Good,59%,Active,77%,Warning
WG00031,NW,North-West,Covered,23°C,Good,Critical,45%,Weak,50%,Critical
WG00032,W,West,Hopper,39°C,Critical,Fair,58%,Active,42%,Critical
WG00033,NE,North-East,Covered,43°C,Worn,Good,38%,Active,57%,Critical
WG00034,SE,South-East,BOXN,24°C,Good,Fair,50%,Active,77%,Warning
WG00035,S,South,BTPN,23°C,Worn,Fair,92%,Active,74%,Warning
WG00036,SW,South-West,BCN,37°C,Worn,Worn,39%,Offline,39%,Critical
WG00037,NS,North-South,Tank,27°C,Good,Good,64%,Active,95%,Healthy
WG00038,WN,West-North,Hopper,33°C,Good,Good,35%,Active,75%,Warning
WG00039,NS,North-South,Flat,52°C,Fair,Good,93%,Active,92%,Healthy
WG00040,NW,North-West,BCN,32°C,Good,Good,95%,Active,99%,Healthy
WG00041,EW,East-West,BCN,39°C,Worn,Fair,52%,Active,59%,Critical
WG00042,NW,North-West,Tank,37°C,Good,Fair,64%,Active,87%,Warning
WG00043,NW,North-West,BCN,53°C,Good,Good,91%,Active,99%,Healthy
WG00044,WN,West-North,Covered,51°C,Good,Good,27%,Active,75%,Warning
WG00045,NS,North-South,Flat,28°C,Fair,Good,34%,Active,67%,Critical
WG00046,EW,East-West,Hopper,54°C,Worn,Good,29%,Active,57%,Critical
WG00047,NS,North-South,Covered,50°C,Good,Good,87%,Weak,99%,Healthy
WG00048,EW,East-West,Hopper,49°C,Good,Good,98%,Active,99%,Healthy
WG00049,SE,South-East,BCN,49°C,Good,Good,77%,Active,95%,Healthy
WG00050,NS,North-South,Covered,40°C,Good,Worn,79%,Offline,77%,Warning
WG00051,NE,North-East,Hopper,45°C,Fair,Critical,31%,Active,32%,Critical
WG00052,S,South,Tank,34°C,Fair,Worn,76%,Active,69%,Critical
WG00053,NS,North-South,BTPN,48°C,Good,Good,49%,Active,85%,Warning
WG00054,NE,North-East,Covered,47°C,Good,Worn,60%,Active,77%,Warning
WG00055,SW,South-West,Tank,25°C,Good,Fair,95%,Active,92%,Healthy
WG00056,SE,South-East,Tank,42°C,Critical,Worn,26%,Active,22%,Critical
WG00057,SE,South-East,Tank,44°C,Good,Good,46%,Weak,85%,Warning
WG00058,SE,South-East,Flat,53°C,Good,Good,32%,Active,75%,Warning
WG00059,W,West,BOXN,30°C,Good,Fair,83%,Active,92%,Healthy
WG00060,E,East,BCN,46°C,Fair,Good,96%,Active,92%,Healthy
WG00061,SW,South-West,BCN,30°C,Critical,Good,52%,Active,50%,Critical
WG00062,NS,North-South,BCN,30°C,Good,Fair,65%,Active,87%,Warning
WG00063,SW,South-West,Covered,45°C,Good,Critical,92%,Active,65%,Critical
WG00064,ES,East-South,BCN,50°C,Good,Good,48%,Offline,85%,Warning
WG00065,N,North,Covered,30°C,Good,Worn,55%,Active,67%,Critical
WG00066,NW,North-West,BTPN,34°C,Fair,Good,30%,Active,67%,Critical
WG00067,SE,South-East,Tank,48°C,Good,Good,91%,Active,99%,Healthy
WG00068,NS,North-South,BOXN,39°C,Good,Good,65%,Active,95%,Healthy
WG00069,WN,West-North,Covered,25°C,Good,Worn,63%,Weak,77%,Warning
WG00070,W,West,Hopper,42°C,Good,Critical,26%,Offline,40%,Critical
WG00071,NE,North-East,BOXN,25°C,Good,Good,34%,Active,75%,Warning
WG00072,SE,South-East,Covered,30°C,Worn,Worn,69%,Active,59%,Critical
WG00073,EW,East-West,BTPN,54°C,Good,Good,45%,Offline,85%,Warning
WG00074,E,East,Flat,52°C,Fair,Critical,63%,Active,52%,Critical
WG00075,NW,North-West,Flat,33°C,Fair,Good,26%,Offline,67%,Critical
WG00076,EW,East-West,Covered,46°C,Worn,Good,38%,Active,57%,Critical
WG00077,NE,North-East,Hopper,54°C,Fair,Good,38%,Active,67%,Critical
WG00078,NS,North-South,Flat,50°C,Fair,Good,51%,Active,77%,Warning
WG00079,NW,North-West,Covered,24°C,Good,Good,58%,Weak,85%,Warning
WG00080,EW,East-West,Hopper,52°C,Good,Good,31%,Offline,75%,Warning
WG00081,E,East,BTPN,47°C,Good,Good,60%,Active,95%,Healthy
WG00082,WN,West-North,Hopper,20°C,Good,Good,58%,Active,85%,Warning
WG00083,WN,West-North,Covered,22°C,Good,Good,96%,Weak,99%,Healthy
WG00084,NE,North-East,BCN,26°C,Good,Worn,44%,Active,67%,Critical
WG00085,W,West,Hopper,52°C,Good,Good,43%,Active,85%,Warning
WG00086,NS,North-South,BCN,38°C,Worn,Good,30%,Active,57%,Critical
WG00087,SW,South-West,Hopper,54°C,Good,Good,38%,Weak,75%,Warning
WG00088,EW,East-West,Hopper,28°C,Worn,Good,44%,Active,67%,Critical
WG00089,W,West,BCN,22°C,Worn,Good,47%,Active,67%,Critical
WG00090,SW,South-West,Hopper,37°C,Fair,Good,67%,Active,87%,Warning
WG00091,SW,South-West,BOXN,29°C,Good,Fair,56%,Offline,77%,Warning
WG00092,SE,South-East,BOXN,33°C,Good,Good,38%,Active,75%,Warning
WG00093,SE,South-East,Tank,30°C,Worn,Good,50%,Active,67%,Critical
WG00094,NW,North-West,BCN,48°C,Good,Fair,54%,Active,77%,Warning
WG00095,SW,South-West,Tank,23°C,Worn,Critical,60%,Active,42%,Critical
WG00096,EW,East-West,Hopper,46°C,Good,Critical,90%,Offline,65%,Critical
WG00097,EW,East-West,BTPN,34°C,Good,Good,93%,Offline,99%,Healthy
WG00098,EW,East-West,BTPN,26°C,Good,Critical,58%,Active,50%,Critical
WG00099,EW,East-West,Flat,53°C,Good,Good,38%,Active,75%,Warning
WG00100,E,East,BOXN,45°C,Fair,Good,80%,Active,92%,Healthy
WG00101,W,West,Covered,42°C,Good,Good,98%,Offline,99%,Healthy
WG00102,SW,South-West,BOXN,34°C,Good,Worn,80%,Active,82%,Warning
WG00103,EW,East-West,BTPN,44°C,Good,Good,50%,Active,85%,Warning
WG00104,SE,South-East,Tank,22°C,Fair,Fair,67%,Active,79%,Warning
WG00105,SW,South-West,Flat,35°C,Good,Fair,63%,Offline,87%,Warning
WG00106,EW,East-West,Covered,46°C,Good,Good,66%,Active,95%,Healthy
WG00107,WN,West-North,Flat,44°C,Fair,Good,78%,Active,87%,Warning
WG00108,ES,East-South,BCN,52°C,Fair,Good,47%,Active,77%,Warning
WG00109,N,North,Tank,29°C,Good,Good,25%,Active,75%,Warning
WG00110,NW,North-West,Flat,44°C,Good,Good,66%,Active,95%,Healthy
WG00111,SW,South-West,Tank,34°C,Fair,Critical,85%,Active,57%,Critical
WG00112,W,West,Flat,26°C,Good,Fair,35%,Active,67%,Critical
WG00113,S,South,Hopper,22°C,Worn,Fair,36%,Active,49%,Critical
WG00114,EW,East-West,BOXN,35°C,Worn,Good,53%,Active,67%,Critical
WG00115,NE,North-East,BOXN,46°C,Fair,Fair,85%,Active,84%,Warning
