Wagon ID,Wagon Number,Wagon Type,Zone Code,Zone Name,Division,Current Station,Destination Station,Cargo Type,Capacity (Tons),Current Load (Tons),Status,GPS Latitude,GPS Longitude,Speed (km/h),Temperature (°C),Last Updated Timestamp
WG00001,3307027975,BCN,SR,Southern Railway,Lucknow,Guntur,Bhopal,Automobiles,70,40.4,Unloading,13.824529,79.1235,13,34.8,2026-06-29 19:46:35
WG00002,6205657693,Covered,SR,Southern Railway,Visakhapatnam,Guntur,Howrah,Containers,60,20.8,Maintenance,12.917702,82.058443,76,31.8,2026-06-29 19:18:35
WG00003,5096022825,BTPN,ER,Eastern Railway,Kolkata,Hyderabad,Kanpur,Coal,50,29.2,Maintenance,26.504372,83.976987,94,53.5,2026-06-29 21:21:35
WG00004,9727951177,BCN,SR,Southern Railway,Nagpur,Bhopal,Secunderabad,Containers,55,38.8,Unloading,11.427125,85.908693,33,27.6,2026-06-29 22:30:35
WG00005,4875755577,Covered,SR,Southern Railway,Mumbai,Warangal,Guntur,Coal,65,38.7,Delayed,31.047296,86.922798,14,49.6,2026-06-29 22:15:35
WG00006,2384272345,Hopper,SCR,South Central Railway,Chennai,Chennai,Delhi,Cement,55,32.7,Unloading,26.593997,78.101549,43,49.5,2026-06-29 22:34:35
WG00007,8203543832,Tank,SER,South Eastern Railway,Lucknow,Agra,Mumbai,Containers,75,62.6,Idle,17.146962,86.82813,21,40.8,2026-06-29 20:15:35
WG00008,4938562599,BCN,NR,North Railway,Visakhapatnam,Guntur,Agra,Cement,70,48.8,Loading,21.987765,69.15997,42,34.1,2026-06-29 16:03:35
WG00009,8579855114,BTPN,NWR,North Western Railway,Secunderabad,Vijayawada,Agra,Coal,70,25.3,Running,27.722823,80.91453,55,36.6,2026-06-29 21:24:35
WG00010,8446669538,BCN,SCR,South Central Railway,Secunderabad,Nagpur,Delhi,Iron Ore,70,52.6,Maintenance,28.864963,75.391213,65,22.1,2026-06-29 15:18:35
WG00011,7352206330,Covered,SR,Southern Railway,Secunderabad,Kanpur,Chennai,Containers,65,26.5,Idle,8.175594,83.849226,60,27.5,2026-06-29 17:10:35
WG00012,3808816548,Flat,SWR,South Western Railway,Delhi,Agra,Nagpur,Automobiles,55,16.7,Delayed,8.416967,80.001321,87,39.6,2026-06-29 14:16:35
WG00013,1345447527,Hopper,NER,North Eastern Railway,Mumbai,Chennai,Bhopal,Automobiles,55,43.9,Unloading,17.098415,83.64104,85,38.6,2026-06-29 18:14:35
WG00014,1797268569,BCN,SER,South Eastern Railway,Nagpur,Bhopal,Guntur,Coal,70,60.7,Idle,9.516735,79.820491,11,46.6,2026-06-29 22:08:35
WG00015,6900451618,Flat,ER,Eastern Railway,Chennai,Visakhapatnam,Warangal,Coal,75,67.8,Idle,30.331113,80.484315,58,37.9,2026-06-29 16:17:35
WG00016,4958277865,BCN,SCR,South Central Railway,Kolkata,Chennai,Visakhapatnam,Food Grains,60,54.0,Running,17.11959,68.939882,18,49.0,2026-06-29 22:08:35
WG00017,2015438742,Hopper,SWR,South Western Railway,Lucknow,Delhi,Agra,Food Grains,70,66.3,Maintenance,20.288961,76.439063,74,52.5,2026-06-30 00:29:35
WG00018,9086516234,BOXN,WR,Western Railway,Kolkata,Howrah,Guntur,Iron Ore,60,36.1,Running,20.098276,82.06588,76,33.0,2026-06-29 23:14:35
WG00019,8514808303,BCN,NWR,North Western Railway,Mumbai,Kanpur,Hyderabad,Coal,55,33.4,Maintenance,13.176117,85.419317,60,27.1,2026-06-29 18:20:35
WG00020,4648414410,Hopper,SWR,South Western Railway,Secunderabad,Chennai,Bhopal,Food Grains,65,54.1,Running,28.371921,80.039484,100,33.6,2026-06-29 15:53:35
WG00021,5869654436,Flat,SWR,South Western Railway,Mumbai,Hyderabad,Nagpur,Coal,60,32.6,Delayed,16.948692,75.293981,37,37.5,2026-06-30 01:27:35
WG00022,2220862420,BCN,NWR,North Western Railway,Jaipur,Mumbai,Visakhapatnam,Cement,65,37.9,Running,27.931449,86.506215,0,52.1,2026-06-29 16:44:35
WG00023,1357092251,BCN,NWR,North Western Railway,Lucknow,Howrah,Agra,Food Grains,75,21.9,Idle,30.977402,87.507836,23,49.0,2026-06-29 21:30:35
WG00024,6379639823,BTPN,SWR,South Western Railway,Lucknow,Kanpur,Mumbai,Food Grains,60,49.7,Maintenance,12.603734,86.547706,14,53.3,2026-06-30 00:43:35
WG00025,6286152256,Tank,SR,Southern Railway,Delhi,Mumbai,Delhi,Iron Ore,55,19.7,Idle,18.619319,69.645167,11,36.8,2026-06-29 21:11:35
WG00026,7930385199,Tank,SWR,South Western Railway,Nagpur,Visakhapatnam,Guntur,Containers,75,33.6,Loading,22.092858,88.784526,11,26.1,2026-06-29 19:54:35
WG00027,2555996570,Covered,SER,South Eastern Railway,Lucknow,Kanpur,Howrah,Steel,75,30.2,Delayed,31.269886,72.377385,7,38.3,2026-06-29 15:26:35
WG00028,9696562112,Flat,SER,South Eastern Railway,Visakhapatnam,Mumbai,Kanpur,Containers,55,49.9,Unloading,12.559227,72.105849,99,51.4,2026-06-29 20:38:35
WG00029,2213030429,Hopper,SR,Southern Railway,Chennai,Howrah,Visakhapatnam,Containers,65,43.8,Delayed,13.14782,73.813104,32,54.4,2026-06-30 00:31:35
WG00030,2709284068,BOXN,WR,Western Railway,Secunderabad,Guntur,Bhopal,Automobiles,70,46.5,Running,22.459387,81.990159,49,54.8,2026-06-29 14:58:35
WG00031,9177475031,Covered,WR,Western Railway,Kolkata,Howrah,Agra,Petroleum,75,41.2,Running,13.763454,82.020039,1,22.8,2026-06-30 01:37:35
WG00032,1894865016,Hopper,WR,Western Railway,Chennai,Warangal,Kanpur,Containers,55,30.4,Loading,8.147022,80.562744,95,39.4,2026-06-30 01:23:35
WG00033,3512663946,Covered,WR,Western Railway,Nagpur,Kanpur,Hyderabad,Iron Ore,70,41.6,Unloading,21.963569,71.164267,92,42.7,2026-06-29 22:21:35
WG00034,7804314127,BOXN,ER,Eastern Railway,Nagpur,Visakhapatnam,Howrah,Containers,70,65.5,Idle,23.28016,69.619542,99,24.2,2026-06-30 01:09:35
WG00035,5229665316,BTPN,NWR,North Western Railway,Delhi,Nagpur,Hyderabad,Containers,70,58.4,Idle,30.110387,73.686865,86,22.7,2026-06-29 20:03:35
WG00036,1245278654,BCN,WR,Western Railway,Kolkata,Agra,Delhi,Food Grains,50,21.5,Maintenance,30.539611,86.221188,1,37.4,2026-06-29 21:34:35
WG00037,3591010782,Tank,NR,North Railway,Visakhapatnam,Visakhapatnam,Vijayawada,Cement,60,59.3,Loading,14.074418,76.446958,33,26.9,2026-06-29 20:05:35
WG00038,3888911886,Hopper,SER,South Eastern Railway,Nagpur,Delhi,Warangal,Steel,60,32.4,Idle,20.056797,83.637013,32,32.8,2026-06-29 21:26:35
WG00039,5648295320,Flat,SR,Southern Railway,Jaipur,Chennai,Agra,Iron Ore,55,52.8,Unloading,15.659688,83.248458,34,52.0,2026-06-29 18:17:35
WG00040,3380721872,BCN,ER,Eastern Railway,Mumbai,Chennai,Bhopal,Containers,50,49.4,Idle,10.380819,81.145449,2,32.4,2026-06-29 20:58:35
